"","SRR3051740","SRR3051741","SRR3051742","SRR3051743","SRR3051744","SRR3051745","SRR3051752","SRR3051753","SRR3051754","SRR3051755","SRR3051756","SRR3051757","SRR7054176","SRR7054177","SRR7054178","SRR7054179","SRR7054180","SRR7054181","SRR7054182","SRR7054183"
"Os01g0111700",7.00302990676776,6.68482106579999,7.00055980367418,6.88260222843509,6.97848900739402,8.07516536158338,6.31987994077343,7.46207506058562,6.75518082664834,10.5905517784322,10.020963608705,8.35679288736943,2.30489968531807,2.49351832413218,0,1.20859414493289,3.18211639668101,3.00936489755223,3.50247196985024,3.46272802268036
"Os01g0111900",6.88333456723331,6.93602571717761,6.65500349714449,6.42677851685474,6.86443359389912,6.48884310327204,6.28742990100478,6.54298119319048,6.49827589545543,6.68746000855959,6.02316041787501,6.5154370604198,7.29806335673453,6.81977199053976,5.58726357714576,5.06629689300624,8.10731606728931,8.20923178947964,8.83915148747847,9.03305740319945
"Os01g0112050",7.03513465241526,7.33641280068477,7.94594051318776,7.43737534260731,7.76131728456705,7.34700682765522,7.1282505465279,6.8784513122336,7.44530715453915,7.8083856608039,8.28974625994714,7.50854155358986,6.36790480475129,6.24191545548133,6.75667849191414,6.62221353523231,6.85697577111063,6.85362792156325,6.54281304661077,6.21591775284321
"Os01g0112100",7.03513465241526,7.33641280068477,7.94594051318776,7.43737534260731,7.76131728456705,7.34700682765522,7.1282505465279,6.8784513122336,7.44530715453915,7.8083856608039,8.28974625994714,7.50854155358986,6.36790480475129,6.24191545548133,6.75667849191414,6.62221353523231,6.85697577111063,6.85362792156325,6.54281304661077,6.21591775284321
"Os01g0112500",10.0609029641451,9.90225223816716,10.0303314594353,10.1446430326062,10.0464669602932,10.0819358386762,10.1301361169317,10.2416700939553,10.251514951162,9.58071877318645,9.39554018459772,9.24690166755735,9.70410220323992,9.76948174236767,9.86701380556458,9.97703156539385,9.20091960036229,9.1715136332063,8.98889278547766,8.96656996871577
"Os01g0113300",5.14986931246722,4.9479816285473,5.29521043648388,3.96191057526386,4.31420401798912,4.88094024810507,3.954595134795,4.95298533319999,4.25663154275168,7.70995943570697,7.00955760269767,5.95569876626863,6.16422564138761,6.40260135619985,7.64125196341739,7.37172479077136,7.08947707278308,6.97848900739402,7.58541240424389,7.72842464935988
"Os01g0113350",7.03513465241526,6.90523271397859,7.36584244012074,7.72291746980643,7.4271057447846,7.12500513326551,8.29933515432022,7.55769614329011,7.71576030864269,6.72214323746825,6.02316041787501,6.28889807038769,4.70571861953263,4.48524759516913,5.07427195726354,5.65448960208338,4.95353809262544,4.01075621786644,3.34349284402824,3.65703595379306
"Os01g0113400",8.1567102585486,8.25564806995343,8.71336932577498,8.12624480834437,8.26209358406171,8.07516536158338,8.34061179150076,8.14776446488059,8.20307256857144,8.1055619804742,8.11877023739409,8.33054957066181,7.9734523206017,8.00086322692954,8.40549231663926,8.77321835819804,8.63901729678365,8.61811328886015,8.60556101877834,8.48469971774525
"Os01g0113800",7.28483434186011,7.41911815901533,7.8083856608039,7.17062228319881,7.04695147430466,6.97788027169672,7.00526819153306,6.75308272182779,7.05835021657544,8.01429726840749,8.21937042329536,7.37681983608276,7.83183552942542,7.38811233690364,8.40549231663926,8.42930562719033,7.49091043307273,7.49911603448982,7.6013297527396,7.84015997330531
"Os01g0114600",5.45463612276284,5.4124727067677,5.57165035425261,5.50201750791487,5.59883581845899,5.5005969579259,5.63820946916983,5.3207992341414,5.16698309663421,5.45638320926578,5.58923999535509,5.3759684199336,0,0,0,0,2.62581817451803,1.07772553151919,2.60913037769505,2.6572469185701
