Protei,ProteinB,co_expression
Os04g0548300,Os05g0460000,0.056
Os03g0276500,Os07g0563700,-0.2021
Os05g0460000,Os07g0563700,0.0879
Os01g0180800,Os05g0353400,0.5361
Os02g0736600,Os03g0276500,-0.1853
Os02g0736600,Os05g0460000,0.0565
Os01g0180800,Os07g0495900,0.3374
Os01g0125800,Os01g0180800,0.5007
Os03g0276500,Os03g0850100,-0.155
Os03g0850100,Os05g0460000,0.0392
Os01g0180800,Os01g0868300,0.359
Os03g0276500,Os03g0352400,0.1578
Os03g0352400,Os05g0460000,0.1817
Os03g0276500,Os08g0154600,-0.0691
Os05g0460000,Os08g0154600,0.2156
Os03g0129200,Os03g0276500,0.3381
Os03g0129200,Os05g0460000,0.1565
Os02g0121000,Os03g0276500,-0.075
Os02g0121000,Os05g0460000,-0.2603
Os01g0180800,Os07g0455100,0.2284
Os01g0180800,Os12g0600400,0.0103
Os03g0276500,Os12g0615800,0.1764
Os05g0460000,Os12g0615800,0.1732
Os02g0717400,Os03g0276500,0.0667
Os02g0717400,Os05g0460000,-0.1494
Os02g0782100,Os03g0276500,-0.1256
Os02g0782100,Os05g0460000,0.0626
Os03g0276500,Os06g0286351,0.2098
Os05g0460000,Os06g0286351,0.1955
Os03g0276500,Os08g0241600,-0.008
Os05g0460000,Os08g0241600,0.2377
Os01g0153400,Os03g0276500,-0.0055
Os01g0153400,Os05g0460000,-0.0751
Os03g0276500,Os05g0462301,0.1483
Os05g0460000,Os05g0462301,0.1634
Os01g0180800,Os03g0851200,-0.1532
Os03g0276500,Os09g0241100,-0.1584
Os05g0460000,Os09g0241100,0.0579
Os01g0931300,Os03g0276500,-0.1541
Os01g0931300,Os05g0460000,-0.0339
Os01g0180800,Os01g0836400,0.1397
Os01g0180800,Os04g0485000,0.6949
Os01g0180800,Os01g0931300,0.0621
Os01g0180800,Os01g0683400,0.2183
Os03g0276500,Os03g0699300,-0.0173
Os03g0699300,Os05g0460000,-0.2401
Os03g0276500,Os12g0540900,0.0296
Os05g0460000,Os12g0540900,0.0747
Os01g0872700,Os03g0276500,0.0052
Os01g0872700,Os05g0460000,-0.1402
Os03g0276500,Os04g0644900,0.0315
Os04g0644900,Os05g0460000,-0.0104
Os03g0251600,Os03g0276500,-0.3446
Os03g0251600,Os05g0460000,0.0228
Os03g0276500,Os06g0173100,0.0904
Os05g0460000,Os06g0173100,0.1265
Os01g0276100,Os03g0276500,0.2275
Os01g0276100,Os05g0460000,-0.2121
Os03g0276500,Os09g0347800,-0.1207
Os05g0460000,Os09g0347800,0.068
Os03g0276500,Os09g0252100,0.0074
Os05g0460000,Os09g0252100,-0.0207
Os03g0276500,Os03g0704200,-0.2538
Os03g0704200,Os05g0460000,0.2634
Os03g0276500,Os03g0699400,0.0947
Os03g0699400,Os05g0460000,0.2282
Os03g0276500,Os06g0562600,0.152
Os05g0460000,Os06g0562600,0.0462
Os01g0180800,Os03g0648400,0.304
Os03g0628900,Os12g0485800,0.3891
Os03g0628900,Os11g0568500,0.679
Os01g0916800,Os08g0187700,0.3753
Os01g0916800,Os12g0571900,0.3341
Os01g0916800,Os01g0958000,0.2829
Os01g0916800,Os06g0319600,0.3792
Os01g0916800,Os07g0661300,0.4413
Os01g0916800,Os07g0603100,0.1967
Os02g0805200,Os07g0492100,0.3613
Os02g0161900,Os04g0546400,0.2587
Os10g0184300,Os01g0610100,0.6793
Os03g0758400,Os07g0435100,0.1467
Os03g0758400,Os01g0812800,0.1122
Os03g0758400,Os02g0601300,0.059
Os03g0758400,Os05g0368300,0.2357
Os03g0758400,Os01g0778800,-0.2928
Os03g0758400,Os03g0598800,0.219
Os02g0784700,Os05g0490800,0.6815
Os03g0387100,Os04g0661900,0.7702
Os09g0246200,Os10g0462900,0.2504
Os09g0246200,Os10g0421800,0.1114
Os09g0246200,Os02g0774300,0.1114
Os09g0246200,Os03g0113700,0.1869
Os01g0184800,Os01g0964133,0.3387
Os05g0223300,Os12g0143100,0.0421
Os05g0223300,Os11g0145400,-0.2598
Os10g0485000,Os12g0143100,-0.0032
Os10g0485000,Os11g0145400,-0.0793
Os01g0834700,Os01g0558300,0.3184
Os01g0672700,Os07g0603100,0.5844
Os07g0613300,Os12g0188900,-0.0243
Os01g0834700,Os02g0826500,0.4922
Os04g0661800,Os03g0815900,0.5323
Os04g0484900,Os03g0832600,0.3221
Os07g0626600,Os05g0567400,0.1202
Os07g0626600,Os08g0416100,0.2036
Os07g0626600,Os11g0456300,0.583
Os07g0626600,Os01g0948400,-0.0881
Os07g0626600,Os03g0737300,-0.2951
Os07g0626600,Os03g0737400,0.1524
Os07g0626600,Os01g0174900,0.2494
Os07g0626600,Os12g0618300,0.5058
Os07g0626600,Os05g0491200,0.3107
Os07g0626600,Os03g0319100,0.6231
Os07g0626600,Os03g0115500,0.0552
Os07g0626600,Os04g0619500,0.4621
Os07g0626600,Os08g0326400,0.4757
Os07g0626600,Os09g0507800,0.4038
Os07g0626600,Os08g0295300,0.2202
Os07g0626600,Os03g0619400,0.29
Os07g0626600,Os02g0134300,0.2626
Os07g0626600,Os11g0265600,0.159
Os07g0626600,Os03g0766900,-0.0187
Os07g0626600,Os06g0149400,0.4098
Os07g0626600,Os03g0255500,0.0397
Os07g0626600,Os05g0519700,0.2488
Os07g0626600,Os10g0466300,0.3897
Os07g0626600,Os01g0708100,0.1291
Os07g0626600,Os03g0826700,0.3478
Os07g0626600,Os09g0293900,0.0245
Os07g0626600,Os04g0446500,0.1777
Os07g0626600,Os03g0343300,0.0478
Os07g0626600,Os12g0489100,0.1521
Os07g0626600,Os05g0490000,0.1078
Os07g0626600,Os06g0699700,-0.0814
Os07g0626600,Os02g0795900,0.0503
Os07g0626600,Os02g0591800,0.1739
Os07g0626600,Os06g0173100,0.3394
Os07g0626600,Os01g0184800,0.1307
Os07g0626600,Os10g0182000,0.2924
Os07g0626600,Os06g0320700,0.3549
Os07g0626600,Os10g0485000,0.4224
Os07g0626600,Os01g0851700,0.1457
Os12g0179800,Os03g0255500,0.2607
Os05g0543400,Os09g0515100,0.3615
Os07g0627800,Os12g0136200,0.5046
Os01g0558300,Os07g0627800,0.3529
Os09g0297100,Os11g0615800,-0.0152
Os04g0684800,Os11g0615800,-0.4038
Os09g0297100,Os02g0762800,-0.2475
Os04g0684800,Os02g0762800,-0.4589
Os03g0780900,Os02g0741100,-0.3261
Os03g0780900,Os01g0710200,0.1166
Os03g0780900,Os01g0617500,-0.2689
Os03g0780900,Os03g0157900,-0.2288
Os03g0780900,Os02g0708100,-0.2591
Os03g0780900,Os03g0854300,-0.172
Os03g0780900,Os01g0815800,-0.3277
Os03g0780900,Os07g0224000,-0.2512
Os03g0780900,Os05g0539500,-0.0448
Os03g0780900,Os04g0598200,-0.392
Os03g0780900,Os02g0699600,-0.3692
Os03g0780900,Os03g0139100,-0.3452
Os03g0780900,Os02g0814700,-0.3247
Os03g0780900,Os10g0466700,-0.3493
Os03g0780900,Os08g0116500,-0.3997
Os03g0780900,Os03g0818400,-0.2811
Os03g0780900,Os01g0834500,-0.3574
Os03g0780900,Os07g0622100,-0.3912
Os03g0780900,Os05g0557000,-0.3493
Os03g0780900,Os11g0127900,-0.4009
Os03g0780900,Os12g0124200,-0.424
Os03g0780900,Os08g0326400,-0.3729
Os03g0780900,Os09g0507800,-0.3917
Os03g0780900,Os08g0436800,-0.3656
Os03g0780900,Os08g0156800,-0.3593
Os03g0780900,Os09g0413500,-0.3469
Os02g0762300,Os12g0588900,0.2889
Os03g0100400,Os04g0486500,0.1558
Os03g0100400,Os11g0180600,0.1275
Os02g0106966,Os07g0604500,0.5043
Os02g0106966,Os03g0415500,0.2949
Os02g0784700,Os08g0295000,0.3838
Os02g0161900,Os03g0243300,0.5201
Os03g0243300,Os08g0295000,0.2127
Os06g0691000,Os02g0805200,-0.2509
Os03g0851000,Os04g0501000,0.9087
Os02g0146700,Os01g0938900,0.8506
Os02g0146700,Os03g0387100,0.6163
Os05g0302700,Os06g0693500,0.5538
Os05g0302700,Os11g0660500,0.4823
Os05g0302700,Os06g0583400,0.4788
Os05g0302700,Os02g0717800,0.5913
Os05g0302700,Os07g0262200,0.8177
Os04g0473400,Os05g0302700,0.7515
Os04g0473400,Os02g0580500,0.2418
Os06g0693500,Os02g0580500,0.2752
Os04g0473400,Os01g0574500,0.235
Os06g0693500,Os01g0574500,0.3221
Os01g0872700,Os06g0319600,0.2518
Os01g0872700,Os11g0153900,0.1521
Os04g0455900,Os05g0100366,0.5455
Os02g0776800,Os01g0256400,0.4095
Os12g0562900,Os05g0100366,0.3019
Os03g0748400,Os12g0579000,0.5491
Os01g0575000,Os06g0583400,0.3595
Os08g0561700,Os03g0815900,-0.1318
Os08g0561700,Os01g0925000,-0.2133
Os08g0561700,Os02g0250300,-0.1579
Os03g0191400,Os05g0279400,-0.025
Os07g0496000,Os05g0279400,0.4717
Os06g0693500,Os01g0925000,0.1656
Os06g0693500,Os02g0250300,0.3896
Os01g0134500,Os06g0127200,0.327
Os06g0728000,Os12g0579000,0.4008
Os03g0743400,Os06g0644500,0.4502
Os03g0743400,Os11g0549700,-0.047
Os03g0743400,Os02g0601800,0.4958
Os05g0553800,Os03g0780800,0.4584
Os02g0826500,Os02g0684500,0.2561
Os02g0826500,Os05g0466600,0.3103
Os02g0826500,Os10g0539500,0.3128
Os02g0826500,Os05g0462700,0.3235
Os01g0374000,Os07g0405100,-0.1662
Os01g0374000,Os05g0100366,-0.2515
Os01g0374000,Os03g0748200,0.1375
Os01g0374000,Os07g0661300,-0.0887
Os03g0207900,Os04g0574600,0.3519
Os03g0207900,Os09g0567700,0.5783
Os05g0159100,Os05g0100366,0.386
Os01g0331900,Os05g0100366,0.3443
Os06g0583400,Os06g0639100,0.2286
Os07g0123700,Os04g0574600,-0.0478
Os03g0711800,Os01g0211200,-0.0089
Os02g0134300,Os02g0250300,0.0022
Os07g0405100,Os02g0250300,0.7078
Os12g0485800,Os02g0601800,0.2534
Os12g0485800,Os07g0605200,-0.1875
Os06g0644500,Os05g0100366,0.6347
Os11g0549700,Os05g0100366,0.2304
Os07g0693400,Os10g0488100,-0.0115
Os08g0366100,Os07g0661300,0.4072
Os02g0601800,Os10g0488100,0.2787
Os02g0250300,Os01g0550100,0.4126
Os02g0250300,Os07g0661300,0.6347
Os05g0100366,Os09g0515100,0.5622
Os05g0100366,Os06g0667100,0.2296
Os03g0831100,Os04g0484900,0.8601
Os02g0725600,Os03g0381100,0.3645
Os09g0567700,Os01g0550100,0.4539
Os03g0748200,Os06g0667100,0.0585
Os03g0748200,Os06g0136500,0.2974
Os01g0550100,Os01g0958000,0.4533
Os07g0661300,Os01g0958000,0.5288
Os05g0367100,Os06g0183800,0.2666
Os03g0746500,Os04g0484900,0.4502
Os02g0776800,Os12g0562900,0.4713
Os03g0748400,Os07g0693400,0.231
Os03g0748400,Os06g0183800,0.5497
Os03g0286900,Os09g0557800,0.0751
Os08g0561700,Os02g0601800,0.2078
Os08g0561700,Os02g0246300,-0.2921
Os08g0561700,Os02g0684500,-0.1877
Os08g0561700,Os05g0466600,-0.223
Os08g0561700,Os10g0539500,0.4061
Os08g0561700,Os05g0462700,-0.2449
Os08g0561700,Os11g0155900,-0.2361
Os08g0561700,Os05g0438700,-0.2207
Os08g0561700,Os06g0159450,-0.1787
Os08g0561700,Os06g0160100,-0.208
Os04g0544900,Os05g0100366,0.2453
Os06g0693500,Os06g0728000,0.3066
Os06g0693500,Os12g0579000,0.4032
Os06g0693500,Os05g0100366,0.2575
Os06g0693500,Os03g0748200,0.5584
Os06g0693500,Os10g0488100,0.5347
Os05g0312500,Os06g0583400,-0.1986
Os05g0312500,Os05g0100366,-0.1209
Os01g0134500,Os06g0583400,0.1427
Os03g0743400,Os01g0374000,-0.0359
Os05g0553800,Os03g0381100,0.3766
Os03g0586900,Os07g0123700,-0.2632
Os08g0101100,Os07g0661300,0.117
Os01g0374000,Os07g0123700,0.0177
Os01g0374000,Os12g0485800,0.0727
Os06g0583400,Os12g0485800,0.0692
Os06g0583400,Os09g0515800,0.5623
Os06g0583400,Os01g0209000,0.348
Os07g0123700,Os02g0601800,-0.387
Os03g0821800,Os05g0100366,0.2277
Os03g0711800,Os09g0504400,0.3861
Os06g0303700,Os09g0364000,0.6693
Os02g0134300,Os06g0183800,-0.0466
Os07g0405100,Os06g0644500,0.5498
Os07g0405100,Os11g0549700,0.0487
Os03g0628900,Os03g0652100,0.5473
Os12g0485800,Os03g0228400,0.469
Os01g0925000,Os02g0121300,0.0691
Os09g0536000,Os10g0488100,-0.0369
Os08g0205300,Os03g0748200,0.3262
Os05g0100366,Os01g0209000,0.449
Os02g0684500,Os03g0381100,0.0248
Os05g0466600,Os03g0381100,0.0452
Os10g0539500,Os03g0381100,-0.301
Os05g0462700,Os03g0381100,0.2674
Os11g0309000,Os01g0510100,-0.384
Os11g0309000,Os06g0473200,-0.1344
Os03g0290500,Os01g0510100,0.0447
Os03g0290500,Os06g0473200,0.1234
Os11g0180600,Os11g0615800,0.2835
Os01g0772200,Os04g0691500,0.0453
Os01g0772200,Os07g0693400,-0.2865
Os01g0772200,Os06g0274100,-0.0218
Os01g0772200,Os07g0575100,0.0158
Os05g0518600,Os10g0521000,0.2878
Os02g0161900,Os04g0270100,0.4703
Os06g0681400,Os04g0270100,0.3722
Os02g0680400,Os12g0562900,0.1966
Os06g0116300,Os07g0661300,0.1805
Os03g0281466,Os07g0661300,0.1695
Os03g0801600,Os03g0281466,0.3405
Os02g0265400,Os03g0281466,0.1397
Os06g0116300,Os07g0496000,0.1972
Os12g0562900,Os02g0762300,-0.1141
Os03g0108400,Os07g0661300,0.4371
Os05g0219800,Os12g0562900,0.3341
Os03g0108400,Os03g0281466,0.0883
Os02g0246300,Os02g0762300,-0.1702
Os03g0191400,Os03g0108400,-0.0594
Os07g0496000,Os03g0108400,0.6155
Os05g0274200,Os12g0562900,0.4576
Os03g0108400,Os07g0405100,0.3692
Os07g0184900,Os12g0179800,-0.243
Os03g0223700,Os03g0801600,0.5403
Os10g0495300,Os12g0485800,-0.1009
Os02g0762300,Os12g0485800,-0.0557
Os07g0617800,Os12g0562900,0.6149
Os06g0116300,Os08g0280200,0.0931
Os04g0484900,Os02g0762300,0.0899
Os07g0563700,Os12g0562900,0.6359
Os03g0628900,Os02g0762300,0.0401
Os03g0628900,Os07g0563700,0.5607
Os11g0525800,Os12g0562900,0.5515
Os07g0150100,Os07g0661300,-0.0771
Os03g0223700,Os12g0562900,0.0444
Os02g0680400,Os04g0503700,0.333
Os06g0116300,Os07g0414800,0.1141
Os07g0492100,Os07g0661300,0.2355
Os07g0414800,Os03g0281466,-0.1513
Os03g0801600,Os07g0661300,0.6546
Os01g0777300,Os06g0116300,0.1349
Os04g0573200,Os03g0286900,0.1032
Os07g0492100,Os03g0281466,0.118
Os07g0563700,Os02g0246300,0.5229
Os12g0579000,Os07g0405100,0.4134
Os03g0719100,Os12g0562900,0.1517
Os05g0125000,Os12g0562900,-0.0022
Os11g0525800,Os02g0246300,0.3586
Os08g0154600,Os12g0179800,-0.3089
Os03g0719100,Os01g0958900,0.4856
Os05g0125000,Os01g0958900,-0.1185
Os07g0495900,Os07g0661300,0.5971
Os11g0525800,Os03g0286900,0.11
Os12g0485800,Os12g0179800,-0.5196
Os10g0495300,Os12g0562900,-0.0337
Os07g0236800,Os02g0596500,0.5182
Os03g0686300,Os10g0518100,0.0366
Os02g0224200,Os01g0897800,0.4498
Os02g0596500,Os02g0224200,0.3217
Os04g0629700,Os05g0333200,0.3021
Os03g0758400,Os09g0420600,0.3234
Os08g0295000,Os02g0199900,0.442
Os11g0105400,Os01g0860300,0.622
Os11g0105400,Os12g0567700,0.342
Os11g0105400,Os04g0598200,0.5626
Os11g0105400,Os02g0699600,0.5411
Os09g0420600,Os02g0325100,0.4927
Os09g0420600,Os04g0444600,0.5578
Os09g0420600,Os09g0541900,0.4519
Os09g0420600,Os08g0550100,0.2992
Os01g0976000,Os01g0254900,0.2973
Os01g0227300,Os01g0254900,0.6162
Os06g0724700,Os01g0757800,-0.0063
Os06g0724700,Os02g0805200,0.2852
Os09g0553600,Os02g0595500,-0.1592
Os09g0553600,Os01g0276100,0.1792
Os01g0819500,Os11g0155900,0.114
Os01g0819500,Os05g0438700,0.2198
Os01g0819500,Os06g0159450,0.1715
Os01g0819500,Os06g0160100,0.1609
Os09g0252700,Os11g0155900,0.1153
Os09g0252700,Os05g0438700,0.1319
Os09g0252700,Os06g0159450,0.0711
Os09g0252700,Os06g0160100,0.0456
Os09g0252700,Os01g0819500,0.6104
Os05g0438700,Os07g0626600,-0.0651
Os06g0159450,Os07g0626600,-0.0951
Os06g0160100,Os07g0626600,-0.1453
Os04g0486500,Os03g0242100,0.3578
Os03g0719100,Os08g0154600,0.3742
Os05g0125000,Os08g0154600,0.2451
Os02g0762800,Os03g0719100,0.0084
Os02g0762800,Os05g0125000,-0.3639
Os01g0757800,Os05g0274200,-0.1926
Os01g0757800,Os09g0407600,-0.022
Os02g0699700,Os02g0656300,0.6529
Os01g0191800,Os02g0620100,0.4986
Os02g0699700,Os02g0620100,0.5914
Os01g0267200,Os08g0430200,0.7994
Os01g0267200,Os02g0179300,0.624
Os04g0611500,Os12g0133900,0.6816
Os04g0611500,Os05g0519500,0.6876
Os04g0611500,Os03g0735100,0.5037
Os07g0237100,Os08g0187700,-0.1513
Os04g0635900,Os02g0511900,0.1439
Os05g0573700,Os03g0116000,-0.0341
Os05g0573700,Os07g0604500,0.4473
Os05g0573700,Os03g0415500,-0.1318
Os06g0168600,Os03g0184700,0.4001
Os11g0155900,Os09g0359800,0.294
Os05g0438700,Os09g0359800,0.4348
Os06g0159450,Os09g0359800,0.346
Os06g0160100,Os09g0359800,0.3871
Os02g0684500,Os09g0359800,0.4928
Os05g0466600,Os09g0359800,0.5912
Os05g0462700,Os09g0359800,0.1899
Os10g0415900,Os09g0359800,0.375
Os12g0530000,Os11g0484300,0.819
Os12g0530000,Os03g0792600,0.6444
Os12g0530000,Os12g0560700,0.8274
Os12g0530000,Os05g0567400,0.3421
Os12g0530000,Os04g0382100,0.3491
Os12g0530000,Os08g0416100,0.2839
Os12g0530000,Os09g0116400,0.326
Os12g0530000,Os07g0237100,0.2047
Os12g0530000,Os04g0118400,0.2715
Os12g0530000,Os03g0831100,0.5707
Os12g0530000,Os01g0375000,0.4289
Os12g0530000,Os08g0564100,0.2027
Os12g0530000,Os03g0314100,0.3896
Os12g0530000,Os02g0556900,0.4867
Os12g0530000,Os08g0192900,0.6872
Os12g0530000,Os05g0558000,0.5428
Os12g0530000,Os11g0579800,0.1737
Os12g0530000,Os12g0176500,0.4187
Os12g0530000,Os11g0105400,0.496
Os12g0530000,Os07g0475800,0.5756
Os12g0530000,Os05g0110500,0.3921
Os12g0530000,Os12g0613500,0.5817
Os12g0530000,Os06g0498500,0.4449
Os12g0530000,Os03g0151700,0.4761
Os12g0530000,Os03g0370500,0.6242
Os12g0530000,Os02g0290400,0.363
Os12g0530000,Os01g0924300,0.4046
Os12g0530000,Os03g0352300,0.6998
Os12g0530000,Os03g0728800,0.4705
Os12g0530000,Os09g0293900,0.538
Os12g0530000,Os04g0446500,0.6068
Os12g0530000,Os07g0435400,0.4312
Os12g0530000,Os01g0686800,0.6279
Os12g0530000,Os03g0833700,0.2689
Os12g0530000,Os02g0591800,0.6186
Os12g0530000,Os07g0202100,0.6289
Os12g0530000,Os10g0495500,0.2846
Os12g0530000,Os07g0600400,0.3979
Os12g0530000,Os06g0195900,0.6091
Os12g0530000,Os03g0333100,0.5634
Os12g0530000,Os06g0186900,0.2643
Os12g0530000,Os10g0495600,0.2775
Os12g0530000,Os03g0295400,0.3654
Os03g0743400,Os03g0241200,0.5492
Os03g0743400,Os05g0558000,0.3669
Os03g0743400,Os09g0293900,0.1458
Os03g0743400,Os04g0446500,0.465
Os03g0743400,Os07g0435400,0.3264
Os03g0743400,Os08g0101100,0.3646
Os03g0743400,Os01g0686800,0.6084
Os03g0743400,Os09g0482100,0.5813
Os03g0743400,Os02g0699700,0.4202
Os03g0743400,Os02g0591800,0.3679
Os02g0797400,Os04g0620400,0.4048
Os02g0797400,Os05g0592500,0.1309
Os02g0797400,Os05g0210500,0.7347
Os02g0797400,Os09g0241100,0.836
Os02g0797400,Os02g0699700,0.8785
Os02g0797400,Os05g0466600,0.6657
Os02g0797400,Os10g0539500,0.0107
Os02g0797400,Os05g0462700,0.1902
Os02g0797400,Os12g0530000,0.8069
Os09g0515100,Os03g0151800,0.0616
Os09g0515100,Os05g0151000,0.0075
Os09g0515100,Os03g0711500,0.4843
Os09g0515100,Os07g0178900,0.5738
Os09g0515100,Os05g0476200,0.4172
Os09g0515100,Os01g0510800,0.6225
Os09g0515100,Os02g0480900,0.5292
Os09g0515100,Os02g0601300,0.1979
Os09g0515100,Os12g0443700,0.402
Os09g0515100,Os02g0741900,0.2079
Os09g0515100,Os07g0100200,-0.1631
Os09g0515100,Os11g0708500,-0.0081
Os09g0515100,Os10g0363300,-0.2033
Os09g0515100,Os08g0154600,0.5836
Os09g0515100,Os03g0295400,0.3089
Os09g0515100,Os01g0544450,0.3243
Os09g0515100,Os10g0495600,0.3358
Os09g0515100,Os06g0186900,0.1304
Os09g0515100,Os11g0572100,0.7207
Os09g0515100,Os03g0403100,0.4935
Os09g0515100,Os07g0202100,0.5214
Os09g0515100,Os04g0492300,0.6096
Os09g0515100,Os01g0686800,0.3567
Os09g0515100,Os07g0435400,0.4947
Os09g0515100,Os09g0293900,0.3272
Os09g0515100,Os04g0446500,0.5855
Os09g0515100,Os02g0797400,0.4232
Os09g0515100,Os03g0352300,0.5923
Os09g0515100,Os12g0613500,0.5167
Os09g0515100,Os12g0176500,0.4642
Os09g0515100,Os03g0314100,0.4793
Os09g0515100,Os04g0118400,0.2414
Os09g0515100,Os07g0237100,0.2016
Os09g0515100,Os09g0116400,0.6308
Os09g0515100,Os12g0560700,0.4155
Os09g0515100,Os11g0484300,0.4102
Os09g0515100,Os02g0776800,0.4763
Os01g0897800,Os03g0268000,0.5385
Os06g0152300,Os01g0254900,0.0341
Os06g0152300,Os02g0437800,0.3886
Os06g0152300,Os06g0116300,0.3852
Os01g0134500,Os02g0266000,-0.1819
Os07g0206700,Os02g0266000,-0.0681
Os03g0347200,Os04g0550400,0.2596
Os02g0612300,Os04g0550400,0.3874
Os03g0347200,Os07g0166800,0.2854
Os02g0612300,Os07g0166800,0.5753
Os03g0347200,Os01g0153300,0.4836
Os03g0347200,Os01g0839500,0.5278
Os02g0768200,Os03g0565100,-0.3139
Os02g0791700,Os05g0187000,-0.2544
Os08g0369300,Os03g0748400,0.4675
Os06g0687500,Os03g0826400,0.017
Os09g0420600,Os02g0784700,0.3764
Os08g0369300,Os06g0173100,0.5679
Os01g0290700,Os06g0639100,0.3237
Os01g0707300,Os05g0159100,0.559
Os01g0707300,Os01g0331900,0.5037
Os01g0560200,Os05g0159100,0.4403
Os01g0560200,Os01g0331900,0.3636
Os02g0123500,Os02g0280500,0.478
Os06g0115300,Os01g0931300,-0.1694
Os06g0115300,Os01g0789100,-0.4706
Os03g0343700,Os07g0673100,0.3957
Os03g0343700,Os02g0503400,0.4081
Os12g0618300,Os02g0503400,0.2477
Os10g0104500,Os02g0503400,0.257
Os07g0476200,Os04g0270100,0.5327
Os02g0193600,Os09g0241100,0.8209
Os03g0397400,Os03g0281466,0.0994
Os07g0164100,Os07g0626600,0.3385
Os06g0583400,Os07g0626600,0.5209
Os07g0164100,Os10g0415900,0.264
Os07g0456500,Os07g0661300,-0.182
Os07g0456500,Os04g0644900,0.107
Os07g0456500,Os03g0251600,0.2725
Os07g0456500,Os01g0879500,0.1973
Os07g0456500,Os03g0123300,-0.114
Os07g0456500,Os12g0588900,-0.1209
Os07g0456500,Os02g0762300,0.0111
Os07g0456500,Os05g0220100,-0.0955
Os07g0456500,Os01g0567500,0.1301
Os07g0456500,Os03g0594400,-0.1382
Os07g0456500,Os05g0540100,0.0839
Os07g0456500,Os03g0191400,-0.2394
Os07g0456500,Os07g0496000,-0.2589
Os07g0456500,Os03g0417900,0.037
Os07g0456500,Os04g0212200,0.0726
Os07g0456500,Os02g0437800,-0.091
Os11g0199200,Os03g0278400,0.1517
Os11g0199200,Os08g0248900,0.642
Os11g0199200,Os03g0228400,0.3932
Os11g0199200,Os04g0644800,0.4798
Os11g0199200,Os07g0563700,0.4362
Os11g0199200,Os03g0205400,0.0062
Os11g0199200,Os06g0191200,-0.0733
Os11g0199200,Os02g0804100,0.7085
Os11g0199200,Os02g0762300,-0.0696
Os11g0199200,Os01g0177200,0.6186
Os11g0199200,Os09g0515800,0.3904
Os11g0199200,Os01g0658500,0.2341
Os11g0199200,Os02g0596500,0.4956
Os11g0199200,Os02g0470400,0.0856
Os11g0199200,Os03g0801600,0.7703
Os11g0199200,Os02g0265400,0.5282
Os11g0199200,Os04g0455900,0.5637
Os11g0199200,Os09g0521500,0.6045
Os11g0199200,Os03g0666500,0.32
Os11g0199200,Os02g0173800,0.3586
Os11g0199200,Os11g0648000,0.0225
Os11g0199200,Os05g0113300,-0.2811
Os11g0199200,Os02g0688500,0.2621
Os11g0199200,Os07g0641200,0.1932
Os11g0199200,Os01g0808400,-0.2815
Os11g0199200,Os12g0230200,-0.1703
Os11g0199200,Os05g0543700,0.2463
Os11g0199200,Os03g0850100,0.1583
Os11g0199200,Os02g0235000,0.4008
Os11g0199200,Os04g0635800,0.5747
Os11g0199200,Os02g0600400,0.3742
Os11g0199200,Os03g0101900,0.1064
Os11g0199200,Os04g0663800,0.0256
Os11g0199200,Os04g0508900,0.2918
Os11g0199200,Os01g0819500,0.5407
Os11g0199200,Os03g0427900,0.5082
Os11g0199200,Os04g0464500,0.5166
Os11g0199200,Os02g0750500,0.4118
Os11g0199200,Os03g0232900,0.1862
Os11g0199200,Os12g0511200,-0.1903
Os11g0199200,Os12g0588900,0.5147
Os11g0199200,Os09g0497400,0.6961
Os11g0199200,Os04g0574600,0.3488
Os01g0229200,Os02g0161900,0.2716
Os04g0112300,Os12g0188900,0.216
Os01g0920200,Os01g0153300,0.3761
Os01g0920200,Os01g0839500,0.4188
Os04g0482000,Os03g0360700,0.5352
Os03g0654400,Os06g0681400,0.1184
Os01g0229200,Os03g0191400,0.0329
Os01g0229200,Os07g0496000,0.6766
Os07g0456500,Os01g0229200,-0.0644
Os02g0704800,Os04g0106300,0.3443
Os04g0563700,Os04g0486500,0.8903
Os09g0375000,Os05g0302700,0.5101
Os09g0375000,Os02g0601300,0.5424
Os09g0375000,Os03g0202200,0.6758
Os09g0375000,Os02g0175000,-0.5586
Os09g0375000,Os04g0607600,-0.1379
Os06g0691000,Os11g0267300,0.3139
Os06g0698674,Os02g0812400,-0.1428
Os01g0866700,Os07g0495900,0.294
Os01g0866700,Os02g0717700,0.0233
Os01g0866700,Os09g0488000,0.6899
Os01g0866700,Os02g0511500,0.398
Os01g0866700,Os02g0641800,0.6294
Os01g0866700,Os07g0180900,0.6579
Os01g0866700,Os07g0202300,0.2945
Os01g0866700,Os10g0486600,0.3508
Os01g0866700,Os05g0314100,0.8253
Os08g0154600,Os12g0530000,0.3774
Os01g0902200,Os03g0648400,-0.0565
Os02g0600400,Os09g0280300,0.0794
Os04g0270100,Os06g0571400,0.7409
Os07g0587400,Os06g0571400,0.6142
Os04g0270100,Os07g0662500,0.7607
Os07g0587400,Os07g0662500,0.7073
Os01g0141100,Os03g0108400,0.2323
Os01g0558600,Os07g0597000,0.6181
Os04g0463400,Os08g0422200,-0.1862
Os09g0505700,Os02g0600400,0.4407
Os03g0200700,Os01g0527700,0.3466
Os01g0527700,Os08g0496000,0.3474
Os03g0711500,Os08g0309300,0.7541
Os06g0697400,Os07g0172500,0.7177
