Protei,ProteinB,co_expression
Os06g0116300,Os11g0168100,0.2846
Os02g0146700,Os04g0444600,0.7869
Os03g0116500,Os04g0444600,0.7166
Os07g0577400,Os04g0444600,0.2808
Os01g0654300,Os01g0208600,0.2794
Os04g0488000,Os01g0759700,0.3744
Os03g0626800,Os05g0514200,0.4052
Os06g0217500,Os10g0495600,0.4207
Os05g0398100,Os07g0152000,-0.1452
Os03g0626800,Os07g0150700,0.2569
Os01g0648000,Os07g0150700,0.2635
Os03g0754900,Os06g0677700,0.4571
Os03g0725050,Os06g0677700,0.1881
Os04g0683100,Os06g0677700,0.4698
Os08g0187700,Os06g0677700,0.2953
Os03g0313300,Os06g0677700,0.1612
Os02g0217500,Os06g0677700,0.4449
Os03g0187600,Os06g0677700,-0.2618
Os04g0598300,Os06g0665400,-0.0076
Os04g0432000,Os06g0665400,-0.432
Os01g0934300,Os09g0560900,0.1007
Os03g0448600,Os09g0560900,0.3098
Os02g0197600,Os03g0778100,0.9451
Os10g0114400,Os09g0420800,-0.4322
Os11g0456300,Os06g0711700,-0.2646
Os03g0717700,Os03g0225600,-0.0446
Os01g0172400,Os11g0206700,0.4312
Os07g0543000,Os10g0577800,0.4719
Os01g0165000,Os10g0577800,0.1134
Os06g0625700,Os10g0577800,-0.3587
Os10g0556200,Os10g0577800,0.1354
Os04g0397500,Os10g0577800,0.0312
Os03g0246500,Os10g0577800,0.08
Os04g0493000,Os10g0577800,0.3078
Os02g0606200,Os10g0577800,0.2994
Os01g0264900,Os08g0335000,0.6343
Os03g0332600,Os01g0127300,0.7068
Os04g0653000,Os10g0575000,0.1648
Os04g0395800,Os10g0575000,0.4782
Os08g0428400,Os10g0575000,0.3362
Os07g0615200,Os10g0575000,0.3832
Os03g0402800,Os10g0575000,0.6238
Os07g0153000,Os10g0575000,0.2917
Os06g0137300,Os06g0645700,0.1326
Os01g0846900,Os06g0645700,0.2935
Os07g0173100,Os11g0171500,-0.0016
Os01g0908200,Os11g0171500,-0.3724
Os05g0411300,Os06g0622700,0.2127
